peak_index,row,col,value,quality_score,valid_ratio,local_contrast,x,y
0,118,120,854.3341064453125,3.764547886779626,1,3.764547886779626,130.49999218331251,-27.466850198875278
1,122,129,733.349365234375,3.485743648418297,1,3.485743648418297,130.6500278483125,-27.53355123443083
2,113,82,893.7464990234369,3.3319383158972604,1,3.3319383158972604,129.86650826442363,-27.383473904430833
3,110,93,828.3925170898438,3.15952312667681,1,3.15952312667681,130.04988518831252,-27.333448127764168
4,52,129,893.7464990234369,2.8982948643416986,1,2.8982948643416986,130.6500278483125,-26.36628311220861
5,97,114,893.7464990234369,2.8943452674607877,1,2.8943452674607877,130.39996840664583,-27.116669762208613
6,105,94,830.2129516601562,2.8675751340722515,1,2.8675751340722515,130.06655581775695,-27.250071833319723
7,103,53,893.7464990234369,2.8478365258155987,1,2.8478365258155987,129.38306001053473,-27.216721315541946
8,59,68,861.8504028320312,2.8352646865632183,1,2.8352646865632183,129.63311945220138,-26.48300992443083
9,61,77,893.7464990234369,2.667690845337827,1,2.667690845337827,129.7831551172014,-26.51636044220861
10,118,128,614.1331787109375,2.6563322360179065,1,2.6563322360179065,130.63335721886807,-27.466850198875278
11,81,107,893.7464990234369,2.648672517015147,1,2.648672517015147,130.28327400053473,-26.84986561998639
12,99,88,893.7464990234369,2.643344501317149,1,2.643344501317149,129.9665320410903,-27.15002027998639
13,107,90,740.9635620117188,2.6196156299253412,1,2.6196156299253412,129.99987329997916,-27.2834223510975
14,66,72,893.7464990234369,2.598070058567703,1,2.598070058567703,129.69980196997918,-26.599736736653057
15,117,123,612.6732788085938,2.5863148315828983,1,2.5863148315828983,130.55000407164584,-27.45017493998639
16,90,110,850.2288208007812,2.575038861949696,1,2.575038861949696,130.33328588886806,-26.999942949986387
17,92,94,893.7464990234369,2.5540307345044977,1,2.5540307345044977,130.06655581775695,-27.033293467764167
18,94,50,893.7464990234369,2.539852601172056,1,2.539852601172056,129.3330481222014,-27.066643985541944
19,79,94,893.7464990234369,2.5133763363129553,1,2.5133763363129553,130.06655581775695,-26.816515102208612
20,96,120,773.27880859375,2.50583903398717,1,2.50583903398717,130.49999218331251,-27.09999450331972
21,71,79,893.7464990234369,2.5055109152525494,1,2.5055109152525494,129.81649637609027,-26.6831130310975
22,63,94,893.7464990234369,2.4936637870884777,1,2.4936637870884777,130.06655581775695,-26.54971095998639
23,60,109,847.5642700195312,2.492871215456341,1,2.492871215456341,130.31661525942363,-26.499685183319723
24,66,110,893.7464990234369,2.4821142066197424,1,2.4821142066197424,130.33328588886806,-26.599736736653057
25,74,129,893.7464990234369,2.475615272691103,1,2.475615272691103,130.6500278483125,-26.733138807764167
26,66,122,893.7464990234369,2.439377915490916,1,2.439377915490916,130.53333344220138,-26.599736736653057
27,69,65,876.8489379882812,2.428853181704568,1,2.428853181704568,129.58310756386805,-26.649762513319722
28,98,66,893.7464990234369,2.4274654146837022,1,2.4274654146837022,129.59977819331252,-27.1333450210975
29,127,125,485.7520446777344,2.3799085417630876,1,2.3799085417630876,130.58334533053474,-27.616927528875276
30,97,85,859.7091064453125,2.3729696942468967,1,2.3729696942468967,129.91652015275696,-27.116669762208613
31,118,98,565.5255737304688,2.303210022955404,1,2.303210022955404,130.1332383355347,-27.466850198875278
32,91,75,893.7464990234369,2.287377289227196,1,2.287377289227196,129.7498138583125,-27.01661820887528
33,56,104,750.3173828125,2.2762555049159947,1,2.2762555049159947,130.2332621122014,-26.432984147764166
34,77,64,893.7464990234369,2.2644138038713097,1,2.2644138038713097,129.56643693442362,-26.783164584430832
35,87,50,893.7464990234369,2.2474350709939728,1,2.2474350709939728,129.3330481222014,-26.949917173319722
36,50,114,664.1626586914062,2.2336679131264745,1,2.2336679131264745,130.39996840664583,-26.332932594430833
